Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0.0488,0,0,0,9.3155,0.043278,3.4E-05,-2.3E-05,0.12209,-6E-06,0.14736,0,0,0,0,0,0,package://Xiaotian/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Xiaotian/meshes/base_link.STL,,0-base-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_hip_Link,0.05586,0.001679,0,0,0,0,1.6223,0.001006,1.1E-05,-3E-06,0.002015,2E-06,0.001293,0,0,0,0,0,0,package://Xiaotian/meshes/LF_hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Xiaotian/meshes/LF_hip_Link.STL,,1-hip-1,LF_hip,LF_hip_A,LF_hip_joint,revolute,0.14655,0.060867,0.062,0,0,0,base_link,1,0,0,23,30,-0.79,0.79,,,,,,,,
LF_thigh_Link,-0.0053474,-0.015786,-0.039045,0,0,0,2.3101,0.009336,0.00015,-0.000712,0.009997,0.001124,0.002201,0,0,0,0,0,0,package://Xiaotian/meshes/LF_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Xiaotian/meshes/LF_thigh_Link.STL,,2-L_thigh-1,LF_thigh,LF_thigh_A,LF_thigh_joint,revolute,0.065,0.080755,0,0,0,0,LF_hip_Link,0,1,0,23,30,-0.79,2.35,,,,,,,,
LF_calf_Link,0.0050873,0.0019199,-0.096467,0,0,0,0.53172,0.002665,0,0.000232,0.00274,1E-06,0.000117,0,0,0,0,0,0,package://Xiaotian/meshes/LF_calf_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Xiaotian/meshes/LF_calf_Link.STL,,3-L_calf-4,LF_calf,LF_calf_A,LF_calf_joint,revolute,0,0,-0.22,0,0,0,LF_thigh_Link,0,1,0,23,30,0.99,2.74,,,,,,,,
LF_foot_Link,-0.0018346,-5.5511E-17,-0.0024346,0,0,0,0.023258,3E-06,0,0,4E-06,0,3E-06,0,0,0,0,0,0,package://Xiaotian/meshes/LF_foot_Link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Xiaotian/meshes/LF_foot_Link.STL,,4-foot-3,LF_foot,,LF_foot_joint,fixed,0,0,-0.21371,0,0,0,LF_calf_Link,0,0,0,,,,,,,,,,,,
LR_hip_Link,-0.05586,0.001679,0,0,0,0,1.6223,0.001006,1.1E-05,-3E-06,0.002015,2E-06,0.001293,0,0,0,0,0,0,package://Xiaotian/meshes/LR_hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Xiaotian/meshes/LR_hip_Link.STL,,1-hip-3,LR_hip,LR_hip_A,LR_hip_joint,revolute,-0.14665,0.060867,0.062,0,0,0,base_link,1,0,0,23,30,-0.79,0.79,,,,,,,,
LR_thigh_Link,-0.070348,0.064969,-0.039045,0,0,0,2.3101,0.009336,0.00015,-0.000712,0.009997,0.001124,0.002201,0,0,0,0,0,0,package://Xiaotian/meshes/LR_thigh_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Xiaotian/meshes/LR_thigh_Link.STL,,2-L_thigh-2,LR_thigh,LR_thigh_A,LR_thigh_joint,revolute,-0.065,0.080755,0,0,0,0,LR_hip_Link,0,1,0,23,30,-0.79,2.35,,,,,,,,
LR_calf_Link,0.0050873,0.0019199,-0.096467,0,0,0,0.53172,0.002665,0,0.000232,0.00274,1E-06,0.000117,0,0,0,0,0,0,package://Xiaotian/meshes/LR_calf_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Xiaotian/meshes/LR_calf_Link.STL,,3-L_calf-3,LR_calf,LR_calf_A,LR_calf_joint,revolute,0,0,-0.22,0,0,0,LR_thigh_Link,0,1,0,23,30,0.99,2.74,,,,,,,,
LR_foot_Link,-0.0018346,5.5511E-17,-0.0024346,0,0,0,0.023258,3E-06,0,0,4E-06,0,3E-06,0,0,0,0,0,0,package://Xiaotian/meshes/LR_foot_Link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Xiaotian/meshes/LR_foot_Link.STL,,4-foot-4,LR_foot,,LR_foot_joint,fixed,0,0,-0.21371,0,0,0,LR_calf_Link,0,0,0,,,,,,,,,,,,
RR_hip_Link,-0.05586,-0.001679,0,0,0,0,1.6223,0.001006,1.1E-05,-3E-06,0.002015,2E-06,0.001293,0,0,0,0,0,0,package://Xiaotian/meshes/RR_hip_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Xiaotian/meshes/RR_hip_Link.STL,,1-hip-4,RR_hip,RR_hip_A,RR_hip_joint,revolute,-0.14665,-0.059133,0.062,0,0,0,base_link,1,0,0,23,30,-0.79,0.79,,,,,,,,
