Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.030276,-0.0041418,0.039187,0,0,0,3.6996,0.021515,1.2017E-05,-0.00013313,0.024009,2.8483E-05,0.037422,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/base_link.STL,,躯干-2,bace,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_hip,0.057689,0.016109,0.00081278,0,0,0,0.46146,0.00028629,9.9423E-07,-2.1842E-07,0.00065442,1.1141E-06,0.00040944,0,0,0,0,0,0,package://urdf/meshes/LF_hip.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/LF_hip.STL,,腿部电机-3,lf_hip,lf_hipx,lf_hip,revolute,0.27001,0.086534,0.044137,0,0,0,base_link,-1,0,0,0,0,-0.785,0.785,,,,,,,,
LF_thigh,-0.012194,-0.0013422,-0.096696,0,0,0,0.2854,0.0021472,-4.6876E-07,0.00014371,0.0022974,7.0837E-06,0.00016572,0,0,0,0,0,0,package://urdf/meshes/LF_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/LF_thigh.STL,,左边大腿-1,lf_thigh,lf_thighx,lf_thigh,revolute,0.0655,0.1064,0,0,0,0,LF_hip,0,-1,0,0,0,-2.793,1.222,,,,,,,,
LF_calf,0.014093,3.5244E-05,-0.135,0,0,0,0.17141,0.0015227,3.7372E-08,-6.4731E-05,0.0015438,-7.1766E-07,3.4238E-05,0,0,0,0,0,0,package://urdf/meshes/LF_calf.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/LF_calf.STL,,左边小腿-1,lf_calf,lf_calfx,lf_calf,revolute,0,0,-0.28,0,0,0,LF_thigh,0,-1,0,0,0,0.9203,2.787,,,,,,,,
LF_food,-0.0041096,4.217E-09,-0.0043475,0,0,0,0.046808,1.0407E-05,-1.8083E-12,-2.6391E-06,1.4664E-05,7.2586E-12,1.0704E-05,0,0,0,0,0,0,package://urdf/meshes/LF_food.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/LF_food.STL,,腿部足底-1,lf_food,,lf_food,fixed,0,0,-0.28821,0,0,0,LF_calf,0,0,0,,,,,,,,,,,,
RF_hip,0.057689,-0.016109,-0.00081278,0,0,0,0.46146,0.00028629,-9.9423E-07,2.1842E-07,0.00065442,1.1141E-06,0.00040944,0,0,0,0,0,0,package://urdf/meshes/RF_hip.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/RF_hip.STL,,腿部电机-1,rf_hip,rf_hipx,rf_hip,revolute,0.27001,-0.089466,0.044137,0,0,0,base_link,-1,0,0,0,0,-0.785,0.785,,,,,,,,
RF_thigh,-0.012194,0.0013419,-0.096696,0,0,0,0.2854,0.0021472,4.6876E-07,0.00014371,0.0022974,-7.0837E-06,0.00016572,0,0,0,0,0,0,package://urdf/meshes/RF_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/RF_thigh.STL,,右边大腿-2,rf_thigh,rf_thighx,rf_thigh,revolute,0.0655,-0.1064,0,0,0,0,RF_hip,0,-1,0,0,0,-2.793,1.222,,,,,,,,
RF_calf,0.014111,-3.4292E-05,-0.13498,0,0,0,0.17143,0.0015226,-3.7503E-08,-6.4926E-05,0.0015438,7.1753E-07,3.4255E-05,0,0,0,0,0,0,package://urdf/meshes/RF_calf.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/RF_calf.STL,,右边小腿-1,rf_calf,rf_calfx,rf_calf,revolute,0,0,-0.28,0,0,0,RF_thigh,0,-1,0,0,0,0.9203,2.787,,,,,,,,
RF_food,-0.0041091,4.2171E-09,-0.004348,0,0,0,0.046808,1.0406E-05,-1.8093E-12,-2.6391E-06,1.4664E-05,7.2582E-12,1.0705E-05,0,0,0,0,0,0,package://urdf/meshes/RF_food.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/RF_food.STL,,腿部足底-2,rf_food,,rf_food,fixed,0,0,-0.28818,0,0,0,RF_calf,0,0,0,,,,,,,,,,,,
LH_hip,-0.057689,0.016109,-0.00081278,0,0,0,0.46146,0.00028629,-9.9423E-07,-2.1843E-07,0.00065442,-1.1141E-06,0.00040944,0,0,0,0,0,0,package://urdf/meshes/LH_hip.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/LH_hip.STL,,腿部电机-2,lh_hip,lh_hipx,lh_hip,revolute,-0.28199,0.086534,0.044137,0,0,0,base_link,-1,0,0,0,0,-0.785,0.785,,,,,,,,
LH_thigh,-0.012194,-0.0013422,-0.096696,0,0,0,0.2854,0.0021472,-4.6876E-07,0.00014371,0.0022974,7.0837E-06,0.00016572,0,0,0,0,0,0,package://urdf/meshes/LH_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/LH_thigh.STL,,左边大腿-2,lh_thigh,lh_thighx,lh_thigh,revolute,-0.0655,0.1064,0,0,0,0,LH_hip,0,-1,0,0,0,-2.793,1.222,,,,,,,,
LH_calf,0.014093,3.5244E-05,-0.135,0,0,0,0.17141,0.0015227,3.7372E-08,-6.4731E-05,0.0015438,-7.1766E-07,3.4238E-05,0,0,0,0,0,0,package://urdf/meshes/LH_calf.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/LH_calf.STL,,左边小腿-2,lh_calf,lh_calfx,lh_calf,revolute,0,0,-0.28,0,0,0,LH_thigh,0,-1,0,0,0,0.9203,2.787,,,,,,,,
LH_food,-0.0041096,4.2169E-09,-0.0043475,0,0,0,0.046808,1.0407E-05,-1.8083E-12,-2.6391E-06,1.4664E-05,7.2586E-12,1.0704E-05,0,0,0,0,0,0,package://urdf/meshes/LH_food.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/LH_food.STL,,腿部足底-4,lh_food,Axis_lh_food,lh_food,fixed,0,0,-0.288214795749395,0,0,0,LH_calf,0,0,0,,,,,,,,,,,,
RH_hip,-0.057689,-0.016109,0.00081278,0,0,0,0.46146,0.00028629,9.9424E-07,2.1843E-07,0.00065442,-1.1141E-06,0.00040944,0,0,0,0,0,0,package://urdf/meshes/RH_hip.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/RH_hip.STL,,腿部电机-4,rh_hip,rh_hipx,rh_hip,revolute,-0.28199,-0.089466,0.044137,0,0,0,base_link,-1,0,0,0,0,-0.785,0.785,,,,,,,,
RH_thigh,-0.012194,0.0013419,-0.096696,0,0,0,0.2854,0.0021472,4.6876E-07,0.00014371,0.0022974,-7.0837E-06,0.00016572,0,0,0,0,0,0,package://urdf/meshes/RH_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/RH_thigh.STL,,右边大腿-1,rh_thigh,rh_thighx,rh_thigh,revolute,-0.0655,-0.1064,0,0,0,0,RH_hip,0,-1,0,0,0,-2.793,1.222,,,,,,,,
RH_calf,0.014093,-3.4292E-05,-0.13498,0,0,0,0.17143,0.0015227,-3.7409E-08,-6.4731E-05,0.0015438,7.1753E-07,3.4238E-05,0,0,0,0,0,0,package://urdf/meshes/RH_calf.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/RH_calf.STL,,右边小腿-2,rh_calf,rh_calfx,rh_calf,revolute,0,0,-0.28,0,0,0,RH_thigh,0,-1,0,0,0,0.9203,2.787,,,,,,,,
RH_food,-0.0041096,4.2163E-09,-0.0043475,0,0,0,0.046808,1.0407E-05,-1.8083E-12,-2.6391E-06,1.4664E-05,7.2586E-12,1.0704E-05,0,0,0,0,0,0,package://urdf/meshes/RH_food.STL,1,1,1,1,0,0,0,0,0,0,package://urdf/meshes/RH_food.STL,,腿部足底-3,rh_food,,rh_food,fixed,0,0,-0.28821,0,0,0,RH_calf,0,0,0,,,,,,,,,,,,
